id,user_id,research_id,viewed_at,created_at
119,518ef540-983b-4413-a797-e24f686974df,news-hantavirus-saham-kesehatan,2026-05-09 11:39:11.25557+00,2026-05-10 03:10:07.39644+00
120,7e5f2b05-cfa0-49f3-847a-01a6318376ba,artikel-pp19-revisi-royalti-minerba,2026-05-09 11:42:32.395786+00,2026-05-10 03:10:07.39644+00
121,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,ptro,2026-05-09 11:49:42.914337+00,2026-05-10 03:10:07.39644+00
122,7e5f2b05-cfa0-49f3-847a-01a6318376ba,artikel-pp19-revisi-royalti-minerba,2026-05-09 11:53:33.66949+00,2026-05-10 03:10:07.39644+00
123,74126dc8-1e36-457a-bbf8-51277b12ef68,news-hantavirus-saham-kesehatan,2026-05-09 12:22:31.202522+00,2026-05-10 03:10:07.39644+00
124,7e5f2b05-cfa0-49f3-847a-01a6318376ba,artikel-pp19-revisi-royalti-minerba,2026-05-09 12:57:18.796429+00,2026-05-10 03:10:07.39644+00
125,17ad5586-c7c9-4e2b-94e7-ac92f1a6647c,ades,2026-05-09 14:11:22.141424+00,2026-05-10 03:10:07.39644+00
126,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,pyfa,2026-05-09 15:09:56.333068+00,2026-05-10 03:10:07.39644+00
127,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,pyfa,2026-05-09 15:10:03.214803+00,2026-05-10 03:10:07.39644+00
128,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 15:10:08.666196+00,2026-05-10 03:10:07.39644+00
129,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-cpo-investment-thesis,2026-05-09 15:12:29.461594+00,2026-05-10 03:10:07.39644+00
130,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-adro-corporate-history,2026-05-09 15:12:49.814791+00,2026-05-10 03:10:07.39644+00
131,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-adro-corporate-history,2026-05-09 15:12:55.455116+00,2026-05-10 03:10:07.39644+00
132,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-tpia-corporate-history,2026-05-09 15:13:06.002872+00,2026-05-10 03:10:07.39644+00
133,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 21:59:16.814944+00,2026-05-10 03:10:07.39644+00
134,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 21:59:30.757919+00,2026-05-10 03:10:07.39644+00
135,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:06:23.457913+00,2026-05-10 03:10:07.39644+00
136,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:09:02.30772+00,2026-05-10 03:10:07.39644+00
137,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:13:20.49049+00,2026-05-10 03:10:07.39644+00
138,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:14:00.510891+00,2026-05-10 03:10:07.39644+00
139,7e5f2b05-cfa0-49f3-847a-01a6318376ba,artikel-pp19-revisi-royalti-minerba,2026-05-09 22:16:00.91923+00,2026-05-10 03:10:07.39644+00
140,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:33:43.116556+00,2026-05-10 03:10:07.39644+00
141,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:34:34.558763+00,2026-05-10 03:10:07.39644+00
142,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:38:32.026546+00,2026-05-10 03:10:07.39644+00
143,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:38:37.325155+00,2026-05-10 03:10:07.39644+00
144,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 22:46:31.236988+00,2026-05-10 03:10:07.39644+00
145,7e5f2b05-cfa0-49f3-847a-01a6318376ba,artikel-pp19-revisi-royalti-minerba,2026-05-09 23:16:21.628106+00,2026-05-10 03:10:07.39644+00
146,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 23:20:13.142013+00,2026-05-10 03:10:07.39644+00
147,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 23:42:18.633837+00,2026-05-10 03:10:07.39644+00
148,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,powr,2026-05-09 23:42:35.856186+00,2026-05-10 03:10:07.39644+00
149,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,gfs,2026-05-09 23:45:07.585142+00,2026-05-10 03:10:07.39644+00
150,084bb1aa-9506-49fd-8f5a-49bdc7731cd8,artikel-pp19-revisi-royalti-minerba,2026-05-09 23:46:34.533941+00,2026-05-10 03:10:07.39644+00
151,74126dc8-1e36-457a-bbf8-51277b12ef68,powr,2026-05-09 23:47:06.236498+00,2026-05-10 03:10:07.39644+00
152,74126dc8-1e36-457a-bbf8-51277b12ef68,powr,2026-05-09 23:47:40.858123+00,2026-05-10 03:10:07.39644+00
153,74126dc8-1e36-457a-bbf8-51277b12ef68,powr,2026-05-09 23:49:50.468544+00,2026-05-10 03:10:07.39644+00
154,74126dc8-1e36-457a-bbf8-51277b12ef68,powr,2026-05-09 23:54:16.5109+00,2026-05-10 03:10:07.39644+00
